 label                                                                            ,  path                                                                                                      ,       volume  ,   eveapi_id  ,  meffic  , baseprob ,  copies
"LACHESIS BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Recon Ships/Gallente"                                                                   ,        "0"    ,           "" ,   ""     , ""       , ""
"HUGINN BLUEPRINT COPY"                                                           , "/Blueprints/Ships/Recon Ships/Minmatar"                                                                   ,        "0"    ,           "" ,   ""     , ""       , ""
"RAPIER BLUEPRINT COPY"                                                           , "/Blueprints/Ships/Recon Ships/Minmatar"                                                                   ,        "0"    ,           "" ,   ""     , ""       , ""
"IMPEL BLUEPRINT COPY"                                                            , "/Blueprints/Ships/Transport Ships/Amarr"                                                                  ,        "0"    ,           "" ,   ""     , ""       , ""
"PRORATOR BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Transport Ships/Amarr"                                                                  ,        "0"    ,           "" ,   ""     , ""       , ""
"CRANE BLUEPRINT COPY"                                                            , "/Blueprints/Ships/Transport Ships/Caldari"                                                                ,        "0"    ,           "" ,   ""     , ""       , ""
"BUSTARD BLUEPRINT COPY"                                                          , "/Blueprints/Ships/Transport Ships/Caldari"                                                                ,        "0"    ,           "" ,   ""     , ""       , ""
"VIATOR BLUEPRINT COPY"                                                           , "/Blueprints/Ships/Transport Ships/Gallente"                                                               ,        "0"    ,           "" ,   ""     , ""       , ""
"OCCATOR BLUEPRINT COPY"                                                          , "/Blueprints/Ships/Transport Ships/Gallente"                                                               ,        "0"    ,           "" ,   ""     , ""       , ""
"PROWLER BLUEPRINT COPY"                                                          , "/Blueprints/Ships/Transport Ships/Minmatar"                                                               ,        "0"    ,           "" ,   ""     , ""       , ""
"MASTODON BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Transport Ships/Minmatar"                                                               ,        "0"    ,           "" ,   ""     , ""       , ""

"DRAGONFLY"                                                                       , "/Drones/Combat Drones/Fighters"                                                                           ,     "5000"    ,      "23057" , "10"     , ""       , ""
"EINHERJI"                                                                        , "/Drones/Combat Drones/Fighters"                                                                           ,     "5000"    ,      "23061" , "10"     , ""       , ""
"FIRBOLG"                                                                         , "/Drones/Combat Drones/Fighters"                                                                           ,     "5000"    ,      "23059" , "10"     , ""       , ""
"TEMPLAR"                                                                         , "/Drones/Combat Drones/Fighters"                                                                           ,     "5000"    ,      "23055" , "10"     , ""       , ""

"STANDARD DROP BOOSTER"                                                           , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "15466" ,   ""     , ""       , ""
"IMPROVED DROP BOOSTER"                                                           , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "15477" ,   ""     , ""       , ""
"STRONG DROP BOOSTER"                                                             , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "15478" ,   ""     , ""       , ""
"STANDARD FRENTIX BOOSTER"                                                        , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "15460" ,   ""     , ""       , ""
"IMPROVED FRENTIX BOOSTER"                                                        , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "15461" ,   ""     , ""       , ""
"STRONG FRENTIX BOOSTER"                                                          , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "15462" ,   ""     , ""       , ""
"STANDARD MINDFLOOD BOOSTER"                                                      , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "15463" ,   ""     , ""       , ""
"IMPROVED MINDFLOOD BOOSTER"                                                      , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "15464" ,   ""     , ""       , ""
"STRONG MINDFLOOD BOOSTER"                                                        , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "28680" ,   ""     , ""       , ""
"STANDARD SOOTH SAYER BOOSTER"                                                    , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "10164" ,   ""     , ""       , ""
"IMPROVED SOOTH SAYER BOOSTER"                                                    , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "10165" ,   ""     , ""       , ""
"STRONG SOOTH SAYER BOOSTER"                                                      , "/Implants & Boosters/Booster"                                                                             ,        "1"    ,      "10166" ,   ""     , ""       , ""

"ANTIMATTER REACTOR UNIT"                                                         , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11549" , "10"     , ""       , ""
"NANOELECTRICAL MICROPROCESSOR"                                                   , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11539" , "10"     , ""       , ""
"TESSERACT CAPACITOR UNIT"                                                        , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11554" , "10"     , ""       , ""
"TUNGSTEN CARBIDE ARMOR PLATE"                                                    , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11543" , "10"     , ""       , ""
"LINEAR SHIELD EMITTER"                                                           , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11557" , "10"     , ""       , ""
"FUSION THRUSTER"                                                                 , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11532" , "10"     , ""       , ""
"RADAR SENSOR CLUSTER"                                                            , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11537" , "10"     , ""       , ""
"GRAVITON REACTOR UNIT"                                                           , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11550" , "10"     , ""       , ""
"QUANTUM MICROPROCESSOR"                                                          , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11540" , "10"     , ""       , ""
"SCALAR CAPACITOR UNIT"                                                           , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11552" , "10"     , ""       , ""
"TITANIUM DIBORITE ARMOR PLATE"                                                   , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11544" , "10"     , ""       , ""
"SUSTAINED SHIELD EMITTER"                                                        , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11558" , "10"     , ""       , ""
"MAGPULSE THRUSTER"                                                               , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11533" , "10"     , ""       , ""
"GRAVIMETRIC SENSOR CLUSTER"                                                      , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11534" , "10"     , ""       , ""
"FUSION REACTOR UNIT"                                                             , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11547" , "10"     , ""       , ""
"PHOTON MICROPROCESSOR"                                                           , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11541" , "10"     , ""       , ""
"OSCILLATOR CAPACITOR UNIT"                                                       , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11553" , "10"     , ""       , ""
"CRYSTALLINE CARBONIDE ARMOR PLATE"                                               , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11545" , "10"     , ""       , ""
"PULSE SHIELD EMITTER"                                                            , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11556" , "10"     , ""       , ""
"ION THRUSTER"                                                                    , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11531" , "10"     , ""       , ""
"MAGNETOMETRIC SENSOR CLUSTER"                                                    , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11535" , "10"     , ""       , ""
"NUCLEAR REACTOR UNIT"                                                            , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11548" , "10"     , ""       , ""
"NANOMECHANICAL MICROPROCESSOR"                                                   , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11538" , "10"     , ""       , ""
"ELECTROLYTIC CAPACITOR UNIT"                                                     , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11551" , "10"     , ""       , ""
"FERNITE CARBIDE COMPOSITE ARMOR PLATE"                                           , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11542" , "10"     , ""       , ""
"DEFLECTION SHIELD EMITTER"                                                       , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11555" , "10"     , ""       , ""
"PLASMA THRUSTER"                                                                 , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11530" , "10"     , ""       , ""
"LADAR SENSOR CLUSTER"                                                            , "/Manufacture & Research/Components/Advanced Components"                                                   ,        "1"    ,      "11536" , "10"     , ""       , ""

"AMARR FUEL BLOCK"                                                                , "/Manufacture & Research/Components/Fuel Blocks"                                                           ,        "5"    ,       "4247" , "10"     , ""       , ""
"CALDARI FUEL BLOCK"                                                              , "/Manufacture & Research/Components/Fuel Blocks"                                                           ,        "5"    ,       "4051" , "10"     , ""       , ""
"GALLENTE FUEL BLOCK"                                                             , "/Manufacture & Research/Components/Fuel Blocks"                                                           ,        "5"    ,       "4312" , "10"     , ""       , ""
"MINMATAR FUEL BLOCK"                                                             , "/Manufacture & Research/Components/Fuel Blocks"                                                           ,        "5"    ,       "4246" , "10"     , ""       , ""
"R.A.M.- AMMUNITION TECH"                                                         , "/Manufacture & Research/Components/R.A.M."                                                                ,        "0.04" ,      "11476" ,  "0"     , ""       , ""
"R.A.M.- ELECTRONICS"                                                             , "/Manufacture & Research/Components/R.A.M."                                                                ,        "0.04" ,      "11483" ,  "0"     , ""       , ""
"R.A.M.- ROBOTICS"                                                                , "/Manufacture & Research/Components/R.A.M."                                                                ,        "0.04" ,      "11481" ,  "0"     , ""       , ""
"R.A.M.- STARSHIP TECH"                                                           , "/Manufacture & Research/Components/R.A.M."                                                                ,        "0.04" ,      "11478" , "10"     , ""       , ""
"CAPITAL CONSTRUCTION PARTS"                                                      , "/Manufacture & Research/Components/Standard Capital Ship Components"                                      ,    "10000"    ,      "21037" ,   ""     , ""       , ""
"ELECTROMECHANICAL INTERFACE NEXUS"                                               , "/Manufacture & Research/Components/Subsystem Components"                                                  ,       "10"    ,      "30466" , "10"     , ""       , ""
"EMERGENT NEUROVISUAL INTERFACE"                                                  , "/Manufacture & Research/Components/Subsystem Components"                                                  ,       "20"    ,      "29996" , "10"     , ""       , ""
"FULLERENE INTERCALATED SHEETS"                                                   , "/Manufacture & Research/Components/Subsystem Components"                                                  ,        "5"    ,      "30002" , "10"     , ""       , ""
"FULLEROFERROCENE POWER CONDUITS"                                                 , "/Manufacture & Research/Components/Subsystem Components"                                                  ,        "5"    ,      "30476" , "10"     , ""       , ""
"METALLOFULLERENE PLATING"                                                        , "/Manufacture & Research/Components/Subsystem Components"                                                  ,        "5"    ,      "30464" , "10"     , ""       , ""
"NANOWIRE COMPOSITES"                                                             , "/Manufacture & Research/Components/Subsystem Components"                                                  ,        "5"    ,      "30474" , "10"     , ""       , ""
"NEUROVISUAL OUTPUT ANALYZER"                                                     , "/Manufacture & Research/Components/Subsystem Components"                                                  ,        "5"    ,      "30470" , "10"     , ""       , ""
"OPTIMIZED NANO-ENGINES"                                                          , "/Manufacture & Research/Components/Subsystem Components"                                                  ,       "10"    ,      "29992" , "10"     , ""       , ""
"RECONFIGURED SUBSPACE CALIBRATOR"                                                , "/Manufacture & Research/Components/Subsystem Components"                                                  ,       "10"    ,      "30478" , "10"     , ""       , ""
"REINFORCED METALLOFULLERENE ALLOYS"                                              , "/Manufacture & Research/Components/Subsystem Components"                                                  ,       "10"    ,      "30008" , "10"     , ""       , ""
"SELF-ASSEMBLING NANOLATTICE"                                                     , "/Manufacture & Research/Components/Subsystem Components"                                                  ,        "5"    ,      "34396" , "10"     , ""       , ""
"SPATIAL ATTUNEMENT UNIT"                                                         , "/Manufacture & Research/Components/Subsystem Components"                                                  ,        "1"    ,      "33195" ,   ""     , ""       , ""
"WARFARE COMPUTATION CORE"                                                        , "/Manufacture & Research/Components/Subsystem Components"                                                  ,       "10"    ,      "29994" , "10"     , ""       , ""

"BROADCAST NODE"                                                                  , "/Manufacture & Research/Materials/Planetary Materials/Advanced Planetary Materials"                       ,      "100"    ,       "2867" ,   ""     , ""       , ""
"INTEGRITY RESPONSE DRONES"                                                       , "/Manufacture & Research/Materials/Planetary Materials/Advanced Planetary Materials"                       ,      "100"    ,       "2868" ,   ""     , ""       , ""
"NANO-FACTORY"                                                                    , "/Manufacture & Research/Materials/Planetary Materials/Advanced Planetary Materials"                       ,      "100"    ,       "2869" ,   ""     , ""       , ""
"ORGANIC MORTAR APPLICATORS"                                                      , "/Manufacture & Research/Materials/Planetary Materials/Advanced Planetary Materials"                       ,      "100"    ,       "2870" ,   ""     , ""       , ""
"RECURSIVE COMPUTING MODULE"                                                      , "/Manufacture & Research/Materials/Planetary Materials/Advanced Planetary Materials"                       ,      "100"    ,       "2871" ,   ""     , ""       , ""
"SELF-HARMONIZING POWER CORE"                                                     , "/Manufacture & Research/Materials/Planetary Materials/Advanced Planetary Materials"                       ,      "100"    ,       "2872" ,   ""     , ""       , ""
"STERILE CONDUITS"                                                                , "/Manufacture & Research/Materials/Planetary Materials/Advanced Planetary Materials"                       ,      "100"    ,       "2875" ,   ""     , ""       , ""
"WETWARE MAINFRAME"                                                               , "/Manufacture & Research/Materials/Planetary Materials/Advanced Planetary Materials"                       ,      "100"    ,       "2876" ,   ""     , ""       , ""
"OXYGEN"                                                                          , "/Manufacture & Research/Materials/Planetary Materials/Processed Planetary Materials"                      ,        "0.38" ,       "3683" ,   ""     , ""       , ""
"COOLANT"                                                                         , "/Manufacture & Research/Materials/Planetary Materials/Refined Planetary Materials"                        ,        "1.5"  ,       "9832" ,   ""     , ""       , ""
"CONSTRUCTION BLOCKS"                                                             , "/Manufacture & Research/Materials/Planetary Materials/Refined Planetary Materials"                        ,        "1.5"  ,       "3828" ,   ""     , ""       , ""
"ENRICHED URANIUM"                                                                , "/Manufacture & Research/Materials/Planetary Materials/Refined Planetary Materials"                        ,        "1.5"  ,         "44" ,   ""     , ""       , ""
"MECHANICAL PARTS"                                                                , "/Manufacture & Research/Materials/Planetary Materials/Refined Planetary Materials"                        ,        "1.5"  ,       "3689" ,   ""     , ""       , ""
"MINIATURE ELECTRONICS"                                                           , "/Manufacture & Research/Materials/Planetary Materials/Refined Planetary Materials"                        ,        "1.5"  ,       "9842" ,   ""     , ""       , ""
"DATA CHIPS"                                                                      , "/Manufacture & Research/Materials/Planetary Materials/Specialized Planetary Materials"                    ,        "6"    ,      "17392" ,   ""     , ""       , ""
"GUIDANCE SYSTEMS"                                                                , "/Manufacture & Research/Materials/Planetary Materials/Specialized Planetary Materials"                    ,        "6"    ,       "9834" ,   ""     , ""       , ""
"HIGH-TECH TRANSMITTERS"                                                          , "/Manufacture & Research/Materials/Planetary Materials/Specialized Planetary Materials"                    ,        "6"    ,      "17898" ,   ""     , ""       , ""
"ROBOTICS"                                                                        , "/Manufacture & Research/Materials/Planetary Materials/Specialized Planetary Materials"                    ,        "6"    ,       "9848" ,   ""     , ""       , ""
"SYNTHETIC SYNAPSES"                                                              , "/Manufacture & Research/Materials/Planetary Materials/Specialized Planetary Materials"                    ,        "6"    ,       "2346" ,   ""     , ""       , ""
"TRANSCRANIAL MICROCONTROLLERS"                                                   , "/Manufacture & Research/Materials/Planetary Materials/Specialized Planetary Materials"                    ,        "6"    ,      "12836" ,   ""     , ""       , ""

"ARKONOR"                                                                         , "/Manufacture & Research/Materials/Raw Materials/Ore/Arkonor"                                              ,       "16"    ,         "22" , "26.116" , ""       , ""
"CRIMSON ARKONOR"                                                                 , "/Manufacture & Research/Materials/Raw Materials/Ore/Arkonor"                                              ,       "16"    ,      "17425" , "26.116" , ""       , ""
"PRIME ARKONOR"                                                                   , "/Manufacture & Research/Materials/Raw Materials/Ore/Arkonor"                                              ,       "16"    ,      "17426" , "26.116" , ""       , ""
"BISTOT"                                                                          , "/Manufacture & Research/Materials/Raw Materials/Ore/Bistot"                                               ,       "16"    ,       "1223" , "26.116" , ""       , ""
"MONOCLINIC BISTOT"                                                               , "/Manufacture & Research/Materials/Raw Materials/Ore/Bistot"                                               ,       "16"    ,      "17429" , "26.116" , ""       , ""
"TRICLINIC BISTOT"                                                                , "/Manufacture & Research/Materials/Raw Materials/Ore/Bistot"                                               ,       "16"    ,      "17428" , "26.116" , ""       , ""
"CROKITE"                                                                         , "/Manufacture & Research/Materials/Raw Materials/Ore/Crokite"                                              ,       "16"    ,       "1225" , "26.116" , ""       , ""
"CRYSTALLINE CROKITE"                                                             , "/Manufacture & Research/Materials/Raw Materials/Ore/Crokite"                                              ,       "16"    ,      "17433" , "26.116" , ""       , ""
"SHARP CROKITE"                                                                   , "/Manufacture & Research/Materials/Raw Materials/Ore/Crokite"                                              ,       "16"    ,      "17432" , "26.116" , ""       , ""
"DARK OCHRE"                                                                      , "/Manufacture & Research/Materials/Raw Materials/Ore/Dark Ochre"                                           ,        "8"    ,       "1232" , "26.116" , ""       , ""
"OBSIDIAN OCHRE"                                                                  , "/Manufacture & Research/Materials/Raw Materials/Ore/Dark Ochre"                                           ,        "8"    ,      "17437" , "26.116" , ""       , ""
"ONYX OCHRE"                                                                      , "/Manufacture & Research/Materials/Raw Materials/Ore/Dark Ochre"                                           ,        "8"    ,      "17436" , "26.116" , ""       , ""
"GNEISS"                                                                          , "/Manufacture & Research/Materials/Raw Materials/Ore/Gneiss"                                               ,        "5"    ,       "1229" , "24.784" , ""       , ""
"IRIDESCENT GNEISS"                                                               , "/Manufacture & Research/Materials/Raw Materials/Ore/Gneiss"                                               ,        "5"    ,      "17865" , "24.784" , ""       , ""
"PRISMATIC GNEISS"                                                                , "/Manufacture & Research/Materials/Raw Materials/Ore/Gneiss"                                               ,        "5"    ,      "17866" , "24.784" , ""       , ""
"GLAZED HEDBERGITE"                                                               , "/Manufacture & Research/Materials/Raw Materials/Ore/Hedbergite"                                           ,        "3"    ,      "17441" , "24.784" , ""       , ""
"HEDBERGITE"                                                                      , "/Manufacture & Research/Materials/Raw Materials/Ore/Hedbergite"                                           ,        "3"    ,         "21" , "24.784" , ""       , ""
"VITRIC HEDBERGITE"                                                               , "/Manufacture & Research/Materials/Raw Materials/Ore/Hedbergite"                                           ,        "3"    ,      "17440" , "24.784" , ""       , ""
"HEMORPHITE"                                                                      , "/Manufacture & Research/Materials/Raw Materials/Ore/Hemorphite"                                           ,        "3"    ,       "1231" , "24.784" , ""       , ""
"RADIANT HEMORPHITE"                                                              , "/Manufacture & Research/Materials/Raw Materials/Ore/Hemorphite"                                           ,        "3"    ,      "17445" , "24.784" , ""       , ""
"VIVID HEMORPHITE"                                                                , "/Manufacture & Research/Materials/Raw Materials/Ore/Hemorphite"                                           ,        "3"    ,      "17444" , "24.784" , ""       , ""
"JASPET"                                                                          , "/Manufacture & Research/Materials/Raw Materials/Ore/Jaspet"                                               ,        "2"    ,       "1226" , "24.784" , ""       , ""
"PRISTINE JASPET"                                                                 , "/Manufacture & Research/Materials/Raw Materials/Ore/Jaspet"                                               ,        "2"    ,      "17449" , "24.784" , ""       , ""
"PURE JASPET"                                                                     , "/Manufacture & Research/Materials/Raw Materials/Ore/Jaspet"                                               ,        "2"    ,      "17448" , "24.784" , ""       , ""
"FIERY KERNITE"                                                                   , "/Manufacture & Research/Materials/Raw Materials/Ore/Kernite"                                              ,        "1.20" ,      "17453" , "24.784" , ""       , ""
"KERNITE"                                                                         , "/Manufacture & Research/Materials/Raw Materials/Ore/Kernite"                                              ,        "1.20" ,         "20" , "24.784" , ""       , ""
"LUMINOUS KERNITE"                                                                , "/Manufacture & Research/Materials/Raw Materials/Ore/Kernite"                                              ,        "1.20" ,      "17452" , "24.784" , ""       , ""
"MAGMA MERCOXIT"                                                                  , "/Manufacture & Research/Materials/Raw Materials/Ore/Mercoxit"                                             ,       "40"    ,      "17869" , "26.116" , ""       , ""
"MERCOXIT"                                                                        , "/Manufacture & Research/Materials/Raw Materials/Ore/Mercoxit"                                             ,       "40"    ,      "11396" , "26.116" , ""       , ""
"VITREOUS MERCOXIT"                                                               , "/Manufacture & Research/Materials/Raw Materials/Ore/Mercoxit"                                             ,       "40"    ,      "17870" , "26.116" , ""       , ""
"GOLDEN OMBER"                                                                    , "/Manufacture & Research/Materials/Raw Materials/Ore/Omber"                                                ,        "0.60" ,      "17868" , "24.784" , ""       , ""
"OMBER"                                                                           , "/Manufacture & Research/Materials/Raw Materials/Ore/Omber"                                                ,        "0.60" ,       "1227" , "24.784" , ""       , ""
"SILVERY OMBER"                                                                   , "/Manufacture & Research/Materials/Raw Materials/Ore/Omber"                                                ,        "0.60" ,      "17867" , "24.784" , ""       , ""
"AZURE PLAGIOCLASE"                                                               , "/Manufacture & Research/Materials/Raw Materials/Ore/Plagioclase"                                          ,        "0.35" ,      "17455" , "24.784" , ""       , ""
"PLAGIOCLASE"                                                                     , "/Manufacture & Research/Materials/Raw Materials/Ore/Plagioclase"                                          ,        "0.35" ,         "18" , "24.784" , ""       , ""
"RICH PLAGIOCLASE"                                                                , "/Manufacture & Research/Materials/Raw Materials/Ore/Plagioclase"                                          ,        "0.35" ,      "17456" , "24.784" , ""       , ""
"PYROXERES"                                                                       , "/Manufacture & Research/Materials/Raw Materials/Ore/Pyroxeres"                                            ,        "0.30" ,       "1224" , "24.784" , ""       , ""
"SOLID PYROXERES"                                                                 , "/Manufacture & Research/Materials/Raw Materials/Ore/Pyroxeres"                                            ,        "0.30" ,      "17459" , "24.784" , ""       , ""
"VISCOUS PYROXERES"                                                               , "/Manufacture & Research/Materials/Raw Materials/Ore/Pyroxeres"                                            ,        "0.30" ,      "17460" , "24.784" , ""       , ""
"CONDENSED SCORDITE"                                                              , "/Manufacture & Research/Materials/Raw Materials/Ore/Scordite"                                             ,        "0.15" ,      "17463" , "24.784" , ""       , ""
"MASSIVE SCORDITE"                                                                , "/Manufacture & Research/Materials/Raw Materials/Ore/Scordite"                                             ,        "0.15" ,      "17464" , "24.784" , ""       , ""
"SCORDITE"                                                                        , "/Manufacture & Research/Materials/Raw Materials/Ore/Scordite"                                             ,        "0.15" ,       "1228" , "24.784" , ""       , ""
"BRIGHT SPODUMAIN"                                                                , "/Manufacture & Research/Materials/Raw Materials/Ore/Spodumain"                                            ,       "16"    ,      "17466" , "26.116" , ""       , ""
"GLEAMING SPODUMAIN"                                                              , "/Manufacture & Research/Materials/Raw Materials/Ore/Spodumain"                                            ,       "16"    ,      "17467" , "26.116" , ""       , ""
"SPODUMAIN"                                                                       , "/Manufacture & Research/Materials/Raw Materials/Ore/Spodumain"                                            ,       "16"    ,         "19" , "26.116" , ""       , ""
"CONCENTRATED VELDSPAR"                                                           , "/Manufacture & Research/Materials/Raw Materials/Ore/Veldspar"                                             ,        "0.10" ,      "17470" , "24.784" , ""       , ""
"DENSE VELDSPAR"                                                                  , "/Manufacture & Research/Materials/Raw Materials/Ore/Veldspar"                                             ,        "0.10" ,      "17471" , "24.784" , ""       , ""
"VELDSPAR"                                                                        , "/Manufacture & Research/Materials/Raw Materials/Ore/Veldspar"                                             ,        "0.10" ,       "1230" , "24.784" , ""       , ""

"GLACIAL MASS"                                                                    , "/Manufacture & Research/Materials/Raw Materials/Ice Ore"                                                  ,     "1000"    ,      "16263" , "26.116" , ""       , ""
