 good                                                                             ,  part                                                                             ,  quantity
"LUMINOUS KERNITE"                                                                , "TRITANIUM"                                                                       ,      "140"
"LUMINOUS KERNITE"                                                                , "MEXALLON"                                                                        ,      "281"
"LUMINOUS KERNITE"                                                                , "ISOGEN"                                                                          ,      "140"
"FIERY KERNITE"                                                                   , "TRITANIUM"                                                                       ,      "147"
"FIERY KERNITE"                                                                   , "MEXALLON"                                                                        ,      "294"
"FIERY KERNITE"                                                                   , "ISOGEN"                                                                          ,      "147"
"MERCOXIT"                                                                        , "MORPHITE"                                                                        ,      "300"
"MAGMA MERCOXIT"                                                                  , "MORPHITE"                                                                        ,      "315"
"VITREOUS MERCOXIT"                                                               , "MORPHITE"                                                                        ,      "330"
"OMBER"                                                                           , "TRITANIUM"                                                                       ,       "85"
"OMBER"                                                                           , "PYERITE"                                                                         ,       "34"
"OMBER"                                                                           , "ISOGEN"                                                                          ,       "85"
"SILVERY OMBER"                                                                   , "TRITANIUM"                                                                       ,       "89"
"SILVERY OMBER"                                                                   , "PYERITE"                                                                         ,       "36"
"SILVERY OMBER"                                                                   , "ISOGEN"                                                                          ,       "89"
"GOLDEN OMBER"                                                                    , "TRITANIUM"                                                                       ,       "94"
"GOLDEN OMBER"                                                                    , "PYERITE"                                                                         ,       "38"
"GOLDEN OMBER"                                                                    , "ISOGEN"                                                                          ,       "94"
"PLAGIOCLASE"                                                                     , "TRITANIUM"                                                                       ,      "107"
"PLAGIOCLASE"                                                                     , "PYERITE"                                                                         ,      "213"
"PLAGIOCLASE"                                                                     , "MEXALLON"                                                                        ,      "107"
"AZURE PLAGIOCLASE"                                                               , "TRITANIUM"                                                                       ,      "112"
"AZURE PLAGIOCLASE"                                                               , "PYERITE"                                                                         ,      "224"
"AZURE PLAGIOCLASE"                                                               , "MEXALLON"                                                                        ,      "112"
"RICH PLAGIOCLASE"                                                                , "TRITANIUM"                                                                       ,      "117"
"RICH PLAGIOCLASE"                                                                , "PYERITE"                                                                         ,      "234"
"RICH PLAGIOCLASE"                                                                , "MEXALLON"                                                                        ,      "117"
"PYROXERES"                                                                       , "TRITANIUM"                                                                       ,      "351"
"PYROXERES"                                                                       , "PYERITE"                                                                         ,       "25"
"PYROXERES"                                                                       , "MEXALLON"                                                                        ,       "50"
"PYROXERES"                                                                       , "NOCXIUM"                                                                         ,        "5"
"SOLID PYROXERES"                                                                 , "TRITANIUM"                                                                       ,      "368"
"SOLID PYROXERES"                                                                 , "PYERITE"                                                                         ,       "26"
"SOLID PYROXERES"                                                                 , "MEXALLON"                                                                        ,       "53"
"SOLID PYROXERES"                                                                 , "NOCXIUM"                                                                         ,        "5"
"VISCOUS PYROXERES"                                                               , "TRITANIUM"                                                                       ,      "385"
"VISCOUS PYROXERES"                                                               , "PYERITE"                                                                         ,       "27"
"VISCOUS PYROXERES"                                                               , "MEXALLON"                                                                        ,       "55"
"VISCOUS PYROXERES"                                                               , "NOCXIUM"                                                                         ,        "5"
"SCORDITE"                                                                        , "TRITANIUM"                                                                       ,      "346"
"SCORDITE"                                                                        , "PYERITE"                                                                         ,      "173"
"CONDENSED SCORDITE"                                                              , "TRITANIUM"                                                                       ,      "363"
"CONDENSED SCORDITE"                                                              , "PYERITE"                                                                         ,      "182"
"MASSIVE SCORDITE"                                                                , "TRITANIUM"                                                                       ,      "380"
"MASSIVE SCORDITE"                                                                , "PYERITE"                                                                         ,      "190"
"SPODUMAIN"                                                                       , "TRITANIUM"                                                                       ,    "56000"
"SPODUMAIN"                                                                       , "PYERITE"                                                                         ,    "12050"
"SPODUMAIN"                                                                       , "MEXALLON"                                                                        ,     "2100"
"SPODUMAIN"                                                                       , "ISOGEN"                                                                          ,      "450"
"BRIGHT SPODUMAIN"                                                                , "TRITANIUM"                                                                       ,    "58800"
"BRIGHT SPODUMAIN"                                                                , "PYERITE"                                                                         ,    "12653"
"BRIGHT SPODUMAIN"                                                                , "MEXALLON"                                                                        ,     "2205"
"BRIGHT SPODUMAIN"                                                                , "ISOGEN"                                                                          ,      "473"
"GLEAMING SPODUMAIN"                                                              , "TRITANIUM"                                                                       ,    "61600"
"GLEAMING SPODUMAIN"                                                              , "PYERITE"                                                                         ,    "13255"
"GLEAMING SPODUMAIN"                                                              , "MEXALLON"                                                                        ,     "2310"
"GLEAMING SPODUMAIN"                                                              , "ISOGEN"                                                                          ,      "495"
"VELDSPAR"                                                                        , "TRITANIUM"                                                                       ,      "415"
"CONCENTRATED VELDSPAR"                                                           , "TRITANIUM"                                                                       ,      "436"
"DENSE VELDSPAR"                                                                  , "TRITANIUM"                                                                       ,      "457"





"STANDARD DROP BOOSTER"                                                           , "STANDARD DROP BOOSTER BLUEPRINT COPY"                                            ,        "1"
"STANDARD DROP BOOSTER"                                                           , "MEGACYTE"                                                                        ,        "4"
"STANDARD DROP BOOSTER"                                                           , "PURE STANDARD DROP BOOSTER"                                                      ,       "17"
"IMPROVED DROP BOOSTER"                                                           , "IMPROVED DROP BOOSTER BLUEPRINT COPY"                                            ,        "1"
"IMPROVED DROP BOOSTER"                                                           , "MEGACYTE"                                                                        ,        "4"
"IMPROVED DROP BOOSTER"                                                           , "PURE IMPROVED DROP BOOSTER"                                                      ,       "13"
"STRONG DROP BOOSTER"                                                             , "STRONG DROP BOOSTER BLUEPRINT COPY"                                              ,        "1"
"STRONG DROP BOOSTER"                                                             , "MEGACYTE"                                                                        ,        "4"
"STRONG DROP BOOSTER"                                                             , "PURE STRONG DROP BOOSTER"                                                        ,       "11"
"STANDARD FRENTIX BOOSTER"                                                        , "STANDARD FRENTIX BOOSTER BLUEPRINT COPY"                                         ,        "1"
"STANDARD FRENTIX BOOSTER"                                                        , "MEGACYTE"                                                                        ,        "4"
"STANDARD FRENTIX BOOSTER"                                                        , "PURE STANDARD FRENTIX BOOSTER"                                                   ,       "17"
"IMPROVED FRENTIX BOOSTER"                                                        , "IMPROVED FRENTIX BOOSTER BLUEPRINT COPY"                                         ,        "1"
"IMPROVED FRENTIX BOOSTER"                                                        , "MEGACYTE"                                                                        ,        "4"
"IMPROVED FRENTIX BOOSTER"                                                        , "PURE IMPROVED FRENTIX BOOSTER"                                                   ,       "13"
"STRONG FRENTIX BOOSTER"                                                          , "STRONG FRENTIX BOOSTER BLUEPRINT COPY"                                           ,        "1"
"STRONG FRENTIX BOOSTER"                                                          , "MEGACYTE"                                                                        ,        "4"
"STRONG FRENTIX BOOSTER"                                                          , "PURE STRONG FRENTIX BOOSTER"                                                     ,       "11"
"STANDARD MINDFLOOD BOOSTER"                                                      , "STANDARD MINDFLOOD BOOSTER BLUEPRINT COPY"                                       ,        "1"
"STANDARD MINDFLOOD BOOSTER"                                                      , "MEGACYTE"                                                                        ,        "4"
"STANDARD MINDFLOOD BOOSTER"                                                      , "PURE STANDARD MINDFLOOD BOOSTER"                                                 ,       "17"
"IMPROVED MINDFLOOD BOOSTER"                                                      , "IMPROVED MINDFLOOD BOOSTER BLUEPRINT COPY"                                       ,        "1"
"IMPROVED MINDFLOOD BOOSTER"                                                      , "MEGACYTE"                                                                        ,        "4"
"IMPROVED MINDFLOOD BOOSTER"                                                      , "PURE IMPROVED MINDFLOOD BOOSTER"                                                 ,       "13"
"STRONG MINDFLOOD BOOSTER"                                                        , "STRONG MINDFLOOD BOOSTER BLUEPRINT COPY"                                         ,        "1"
"STRONG MINDFLOOD BOOSTER"                                                        , "MEGACYTE"                                                                        ,        "4"
"STRONG MINDFLOOD BOOSTER"                                                        , "PURE STRONG MINDFLOOD BOOSTER"                                                   ,       "11"
"STANDARD SOOTH SAYER BOOSTER"                                                    , "STANDARD SOOTH SAYER BOOSTER BLUEPRINT COPY"                                     ,        "1"
"STANDARD SOOTH SAYER BOOSTER"                                                    , "MEGACYTE"                                                                        ,        "4"
"STANDARD SOOTH SAYER BOOSTER"                                                    , "PURE STANDARD SOOTH SAYER BOOSTER"                                               ,       "17"
"IMPROVED SOOTH SAYER BOOSTER"                                                    , "IMPROVED SOOTH SAYER BOOSTER BLUEPRINT COPY"                                     ,        "1"
"IMPROVED SOOTH SAYER BOOSTER"                                                    , "MEGACYTE"                                                                        ,        "4"
"IMPROVED SOOTH SAYER BOOSTER"                                                    , "PURE IMPROVED SOOTH SAYER BOOSTER"                                               ,       "13"
"STRONG SOOTH SAYER BOOSTER"                                                      , "STRONG SOOTH SAYER BOOSTER BLUEPRINT COPY"                                       ,        "1"
"STRONG SOOTH SAYER BOOSTER"                                                      , "MEGACYTE"                                                                        ,        "4"
"STRONG SOOTH SAYER BOOSTER"                                                      , "PURE STRONG SOOTH SAYER BOOSTER"                                                 ,       "11"


"ENTOSIS LINK II BLUEPRINT COPY"                                                  , "ELECTRONIC ENGINEERING"                                                          ,        "3"
"ENTOSIS LINK II BLUEPRINT COPY"                                                  , "GRAVITON PHYSICS"                                                                ,        "3"
"ENTOSIS LINK II BLUEPRINT COPY"                                                  , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"SIEGE MODULE II BLUEPRINT COPY"                                                  , "GRAVITON PHYSICS"                                                                ,        "6"
"SIEGE MODULE II BLUEPRINT COPY"                                                  , "QUANTUM PHYSICS"                                                                 ,        "6"
"SIEGE MODULE II BLUEPRINT COPY"                                                  , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TRIAGE MODULE II BLUEPRINT COPY"                                                 , "GRAVITON PHYSICS"                                                                ,        "6"
"TRIAGE MODULE II BLUEPRINT COPY"                                                 , "QUANTUM PHYSICS"                                                                 ,        "6"
"TRIAGE MODULE II BLUEPRINT COPY"                                                 , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"HERETIC BLUEPRINT COPY"                                                          , "HIGH ENERGY PHYSICS"                                                             ,        "4"
"HERETIC BLUEPRINT COPY"                                                          , "AMARRIAN STARSHIP ENGINEERING"                                                   ,        "4"
"HERETIC BLUEPRINT COPY"                                                          , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"FLYCATCHER BLUEPRINT COPY"                                                       , "HIGH ENERGY PHYSICS"                                                             ,        "4"
"FLYCATCHER BLUEPRINT COPY"                                                       , "CALDARI STARSHIP ENGINEERING"                                                    ,        "4"
"FLYCATCHER BLUEPRINT COPY"                                                       , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"ERIS BLUEPRINT COPY"                                                             , "HIGH ENERGY PHYSICS"                                                             ,        "4"
"ERIS BLUEPRINT COPY"                                                             , "GALLENTEAN STARSHIP ENGINEERING"                                                 ,        "4"
"ERIS BLUEPRINT COPY"                                                             , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"SABRE BLUEPRINT COPY"                                                            , "HIGH ENERGY PHYSICS"                                                             ,        "4"
"SABRE BLUEPRINT COPY"                                                            , "MINMATAR STARSHIP ENGINEERING"                                                   ,        "4"
"SABRE BLUEPRINT COPY"                                                            , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"CURSE BLUEPRINT COPY"                                                            , "ELECTRONIC ENGINEERING"                                                          ,        "8"
"CURSE BLUEPRINT COPY"                                                            , "AMARRIAN STARSHIP ENGINEERING"                                                   ,        "8"
"CURSE BLUEPRINT COPY"                                                            , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"DEVOTER BLUEPRINT COPY"                                                          , "MECHANICAL ENGINEERING"                                                          ,        "8"
"DEVOTER BLUEPRINT COPY"                                                          , "AMARRIAN STARSHIP ENGINEERING"                                                   ,        "8"
"DEVOTER BLUEPRINT COPY"                                                          , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"GUARDIAN BLUEPRINT COPY"                                                         , "NANITE ENGINEERING"                                                              ,        "8"
"GUARDIAN BLUEPRINT COPY"                                                         , "AMARRIAN STARSHIP ENGINEERING"                                                   ,        "8"
"GUARDIAN BLUEPRINT COPY"                                                         , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PILGRIM BLUEPRINT COPY"                                                          , "ELECTRONIC ENGINEERING"                                                          ,        "8"
"PILGRIM BLUEPRINT COPY"                                                          , "AMARRIAN STARSHIP ENGINEERING"                                                   ,        "8"
"PILGRIM BLUEPRINT COPY"                                                          , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"SACRILEGE BLUEPRINT COPY"                                                        , "MECHANICAL ENGINEERING"                                                          ,        "8"
"SACRILEGE BLUEPRINT COPY"                                                        , "AMARRIAN STARSHIP ENGINEERING"                                                   ,        "8"
"SACRILEGE BLUEPRINT COPY"                                                        , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"ZEALOT BLUEPRINT COPY"                                                           , "HIGH ENERGY PHYSICS"                                                             ,        "8"
"ZEALOT BLUEPRINT COPY"                                                           , "AMARRIAN STARSHIP ENGINEERING"                                                   ,        "8"
"ZEALOT BLUEPRINT COPY"                                                           , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"BASILISK BLUEPRINT COPY"                                                         , "NANITE ENGINEERING"                                                              ,        "8"
"BASILISK BLUEPRINT COPY"                                                         , "CALDARI STARSHIP ENGINEERING"                                                    ,        "8"
"BASILISK BLUEPRINT COPY"                                                         , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"CERBERUS BLUEPRINT COPY"                                                         , "HIGH ENERGY PHYSICS"                                                             ,        "8"
"CERBERUS BLUEPRINT COPY"                                                         , "CALDARI STARSHIP ENGINEERING"                                                    ,        "8"
"CERBERUS BLUEPRINT COPY"                                                         , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"FALCON BLUEPRINT COPY"                                                           , "ELECTRONIC ENGINEERING"                                                          ,        "8"
"FALCON BLUEPRINT COPY"                                                           , "CALDARI STARSHIP ENGINEERING"                                                    ,        "8"
"FALCON BLUEPRINT COPY"                                                           , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"EAGLE BLUEPRINT COPY"                                                            , "MECHANICAL ENGINEERING"                                                          ,        "8"
"EAGLE BLUEPRINT COPY"                                                            , "CALDARI STARSHIP ENGINEERING"                                                    ,        "8"
"EAGLE BLUEPRINT COPY"                                                            , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"ONYX BLUEPRINT COPY"                                                             , "MECHANICAL ENGINEERING"                                                          ,        "8"
"ONYX BLUEPRINT COPY"                                                             , "CALDARI STARSHIP ENGINEERING"                                                    ,        "8"
"ONYX BLUEPRINT COPY"                                                             , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"ROOK BLUEPRINT COPY"                                                             , "ELECTRONIC ENGINEERING"                                                          ,        "8"
"ROOK BLUEPRINT COPY"                                                             , "CALDARI STARSHIP ENGINEERING"                                                    ,        "8"
"ROOK BLUEPRINT COPY"                                                             , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"ARAZU BLUEPRINT COPY"                                                            , "ELECTRONIC ENGINEERING"                                                          ,        "8"
"ARAZU BLUEPRINT COPY"                                                            , "GALLENTEAN STARSHIP ENGINEERING"                                                 ,        "8"
"ARAZU BLUEPRINT COPY"                                                            , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"DEIMOS BLUEPRINT COPY"                                                           , "HIGH ENERGY PHYSICS"                                                             ,        "8"
"DEIMOS BLUEPRINT COPY"                                                           , "GALLENTEAN STARSHIP ENGINEERING"                                                 ,        "8"
"DEIMOS BLUEPRINT COPY"                                                           , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"ISHTAR BLUEPRINT COPY"                                                           , "MECHANICAL ENGINEERING"                                                          ,        "8"
"ISHTAR BLUEPRINT COPY"                                                           , "GALLENTEAN STARSHIP ENGINEERING"                                                 ,        "8"
"ISHTAR BLUEPRINT COPY"                                                           , "ACCELERANT DECRYPTOR"                                                            ,        "1"
